IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
11951,A gentleman with three objects in his hands is throwing them up.,"At this place many people have come to watch, could be that there is an event.",There are three individuals who are stuck together chatting like a family.,"This gentleman is in a garment and long socks like that of the Lozi people, he is entertaining them.","Yea dear, and obviously he is an entertainer because his dressing is rather funny and they seem to be at a house."
11952,"Some people are in a rather quiet area, playing with snowboard sticks.","This place is indeed quiet with trees, hills and snow, making it chilly.","And then I see also some sort of a net, what could be this place about?",It is like this place is at times a play ground for some games.,"That is true of this place, as I see an old man climbing up a tree on a ladder."
11953,"Two people, man and woman, are at the market looking at some dolls a certain lady is selling.",The way they are looking at the dolls as if they would like to buy some.,"It could be so, and another lady in green is running as if looking for something elsewhere.","Just as the nature of a market, people are all over looking for something in particular here or there.","Yea dear, and as I see the building is unfinished so this could be a new place under construction."
11954,"A child is by the seashore playing, beside him a chair and a cup hung on a steel.","There is so much sand around the seashores, is that so due to the waves coming with sands?","Yea, there is also a pair of slippers under the chair could it be the child is here with someone elderly?","Yea definitely, because these places are not visited by kids on their own without someone older.","That could be just the reason, even the chair is not that of children but one sat on by the elderly."
11955,"A group of people is diving into the water for, as if they are in a swimming competition.","These people are really in a competition, as they are all trying to win and splashing water so much in this race.","But one gentleman is clever, instead of swimming he is firstly walking as he wants to win.","Yea, and it looks like he is even the one splashing more water the rest of his colleagues.","Could be true, while others are going to where this gent is and it is so stampede each one for himself and God for us all. "
11956,"Three gentlemen are together in a group photo, one is frowning though.",These gentlemen are in some learning environment.,"Yea they may be learners of the same program, this one in the middle is with a bag.",He seems to be quite serious with his education as it is important.,Very important to attain tertiary education because it is a better attainment than something less.
11957,"It is seems like a car is stuck and two gentlemen are trying to remove it, but there is another vehicle trying to toil the same car.","The car stuck looks like those vehicles which are mostly traversing the mountains, even the incidence area is rocky.","And these are quite strong vehicles, but you may want to know where they were headed to because they are in the middle of the road.","And to have this car unstuck from the rocks there must be hard work, else it is not as easy as spoken.","But also these guys are so clever that their effort can amount to nothing, I guess their plan is clean game."
11958,Some kids are playing by a building that looks like a Hindu temple.,"These kids are so happy while they play, and this place looks to be so holy.","How about those kids seen here, could they have come with adults or not?","The place these kids are sitting by is rather scary, with drawings of snakes.","Their nature of worship is just like that, and the things they worship all look like these."
11959,"A man is with his young ones playing, they are in snow pulling them.","This place looks to be crowded, as I can see some people headed to a house.","They seem to have come from elsewhere, going to those houses.","Such places are mostly preferred, oftentimes people visit these areas.","Yea I have noticed too, especially children as they like skating in snow."
11960,"A man is standing in the middle of the road, under construction, and he is guiding motorists.","This job is rather not easy, as it is very difficult to guide or direct people.","True that Br, but you have no control over certain things as long as you have chosen.","A big vehicle looks like bringing down some cables, could it be that they are fixing these cables?",Yea it seems just like that although none has gone up to fix.
11961,"A gentleman is playing with his motorbike, like one who is very good at doing so with a drifted tire.",And he is passing in a bushy road full of bushels and grass.,The bikers are just not basophobic as they are not afraid of falling.,"Basophobic my dear is not even their portion because they get used doing this, not even mindful of it.","If it were some of us who are basophobic it would not be things, the way we would mourn for nsima like a child."
