pair_id	sentence_id	image_id	audio_id	speaker_id	gender	duration	sample_rate	audio_format	recording_lang	native_lang	bem_transcription	en_translation
7	2	2481367956_8577d2fa98.jpg	"7_1601_3_72_02_211031-105433_bem_40e_elicit_1.wav
"	72	female	9.188	16000	vnd.wave	bem	bem	iyi incende nincende yakwangalilako abana abanono alo aka akamwana kalumendo	This place looks like a children's play park.
25	1	538825260.jpg	"25_2857_4_251_01_211110-104905_bem_5da_elicit_2.wav
"	251	male	7.123	16000	vnd.wave	bem	toi	Awe kwena gym ilabafyilisha sana abana aba ukuba aba bumi, nokulwala taba lwala lwala.	The gym really does a good job for these young men and women ,they do not usually get sick.
16	1	2980118787_2099de53ec.jpg	"16_7506_0_161_01_170101-044042_bem_74d_elicit_0.wav
"	161	female	6.307	16000	vnd.wave	bem	toi	uyu umulumendo pa jinga, atolosha ichulu	A young man on the bicycle is jumping the hill.
36	1	3172384527.jpg	"36_5569_4_361_01_211114-180222_bem_654_elicit_2.wav
"	361	male	12.228	16000	vnd.wave	bem	bem	petebulo ilili kuntanshi kukulyo pekele abantu bane,pali shitata uulemineka icanuma uukwete umushishi uwafita nolupala.	on the table in front and on the left there are five people, one  man has black hair with board head
15	2	3154886184_ac842655b6.jpg	"15_3651_3_152_02_211023-125653_bem_9ff_elicit_1.wav
"	152	female	5.445	16000	vnd.wave	bem	bem	ku mbali yakwe kuli icimuti  icili notumisambo utwingi	there is a tree of many branches alongside him.
21	1	4578856261.jpg	"21_1758_4_211_01_211112-100856_bem_83a_elicit_2.wav
"	211	female	11.684	16000	vnd.wave	bem		elyo ni mumbali ya cikulwa muntu aleendela,pamuulu wachikuulwa pali amalaiti elyo no twakukopelako twamumusebo kukucefyanyako abapupu nabatala misoka  	he is walking on the side and on top of a building seems to be CCTV cameras to reduce theft.
13	1	78984436_ad96eaa802.jpg	"13_6953_4_131_01_211031-150838_bem_9ed_elicit_2.wav
"	131	male	4.855	16000	vnd.wave	bem	nya	Iyi ili kuntanshi ile moneka kwati yali chenjelesha	The one that's in front looks more jacked up. 
19	2	3573436368.jpg	"19_7013_3_192_02_220118-084553_bem_5bb_elicit_1.wav
"	192	male	7.872	16000	vnd.wave	bem	bem	ubulalo bulemoneka kwati bwakale sana namatafwali yalifita kumulandu walimbwe-limwe	the bridge looks like it's very old and the bricks are dirt because of lusts
18	2	4748151833.jpg	"18_12151_3_182_02_211110-155348_bem_433_elicit_1.wav
"	182	male	10.05	16000	vnd.wave	bem	bem	elo bulemoneka bushiku ubwansansa saana pantu abantu bali uku nabasekelela ngashi.	And it is like this day is for everyone to be happy and merry as they are excited.
38	1	2480668859.jpg	"38_11916_4_381_01_211114-175627_bem_ba5_elicit_2.wav
"	381	male	8.485	16000	vnd.wave	bem	bem	Ee kwena butali. Ciwemefye akamana nako takakwete amabimbi. Pantu ubwato ubwa uyu musango nga nabubunda.	yes it is long. It is just good that the river is calm because this type of boat can capsize
