pair_id	sentence_id	image_id	audio_id	speaker_id	gender	duration	sample_rate	audio_format	recording_lang	native_lang	bem_transcription	en_translation
34	1	4651089036.jpg	"34_5100_4_341_01_211114-110631_bem_50c_elicit_2.wav
"	341	male	5.172	16000	vnd.wave	bem	lam	alemoneka kwati mwanakashi ali tula isikiyo ilya pa mona	her nose ring suggests that its a female
1	2	3590739067_58baffb3a7.jpg	"1_111_1_12_02_211027-083607_bem_d90_elicit_0.wav
"	12	male	2.631	16000	vnd.wave	bem	bem	bushe ninshi alechita	what is she doing?
25	2	2876954933.jpg	"25_2881_3_252_02_211109-230142_bem_f08_elicit_1.wav
"	252	female	8.031	16000	vnd.wave	bem	bem	Mona efyo natoloka ukucila iwe nalishiba saana,'akamwana akanakashi kaeba akaume.	The girl child thinks she can jump more than the boy child,that is why she is telling him to see.
29	1	3831079795.jpg	"29_9547_2_291_01_220112-183810_bem_9ff_elicit_1.wav
"	291	female	8.122	16000	vnd.wave	bem	bem	cilemoneka kwati mabwe fye nomba balayasunga bwino yali aya busaka.	it is just stones but they are kept tidy and oderly.
28	1	2510197716.jpg	"28_9436_4_281_01_220111-100627_bem_94f_elicit_2.wav
"	281	male	5.445	16000	vnd.wave	bem	ngo	Limbi mwalibe sabi, tayile moneka iyi kalamba saana	Maybe there's fish, it doesn't look that big.
25	2	2291596684.jpg	"25_2719_3_252_02_211109-120057_bem_f08_elicit_1.wav
"	252	female	7.01	16000	vnd.wave	bem	bem	Umukashana bachiya nankwe ena atila naisa nshungulukeko kunuma ya chulu.	A woman he went with said she wanted to check behind the hill.
33	1	289638061.jpg	"33_4816_0_331_01_211109-213941_bem_c25_elicit_0.wav
"	331	female	11.434	16000	vnd.wave	bem	nse	Mu cibansa umo bateyela umupila bwakumolu muli ibumba lya bantu abengi	In a football ground there is a crowd of people
1	2	597543181_6a85ef4c17.jpg	"1_211_3_12_02_211028-092502_bem_d90_elicit_1.wav
"	12	male	4.809	16000	vnd.wave	bem	bem	bushe pachimpelwa epo Ali eka bushe teti apone	isn't the child likely to fall from the swing?
15	2	3096918227_f9d26a7db2.jpg	"15_7367_1_152_02_211030-134645_bem_8cc_elicit_0.wav
"	152	female	5.218	16000	vnd.wave	bem	bem	kabili  naimya na ukuboko kwa ku kulyo	 and he has raised his right hand
30	1	4983589950.jpg	"30_3953_0_301_01_211108-175409_bem_654_elicit_0.wav
"	301	male	4.424	16000	vnd.wave	bem	bem	Abantu nabekala pancende yakulilapo	People are sitting in an eating place.
39	1	6842865414.jpg	"39_955_2_391_01_211117-205111_bem_1e5_elicit_1.wav
"	391	female	9.369	16000	vnd.wave	bem	bem	uyu mwaume akwete banjo iyo alelisha kuminwe yakwe kabili naiminina pantashi yacisoselo	he has a guitar that he is playing and he is standing before a stage microphone
20	1	1039360778.jpg	"20_1460_4_201_01_211110-133720_bem_dbf_elicit_2.wav
"	201	female	10.322	16000	vnd.wave	bem	bem	cacine wasosa mune, lelo kuli nabambi kuli iyine incende limbi yakutusishako	you are right, and they are other people in this place
29	1	127490019.jpg	"29_9470_4_291_01_220112-145341_bem_9ff_elicit_2.wav
"	291	female	8.666	16000	vnd.wave	bem	bem	elyo kunshi nafwala kaputula nalimo efyo bafwala ilyo baleteya uyu mupila.	he is wearing a short maybe the expected attire.
27	1	216778085.jpg	"27_3209_0_271_01_211109-134239_bem_e72_elicit_0.wav
"	271	female	5.263	16000	vnd.wave	bem	leh	abalumendo babili nabemakana baleloshe motoka ishilenda	Two gentlemen are standing looking at a vehicle that's parked. 
22	1	3216058223.jpg	"22_7795_4_221_01_211112-143902_bem_004_elicit_2.wav
"	221	female	2.858	16000	vnd.wave	bem	nbl	cacine patu nafwala icisote	that's true because he is wearing a hat
17	1	2372763106_ddea79d36e.jpg	"17_7979_0_171_01_211110-100241_bem_947_elicit_0.wav
"	171	male	6.443	16000	vnd.wave	bem	toi	imbwa iyafita ilebutu ulubilo ili namumulu	A black dog is running and in the air. 
30	1	7200700722.jpg	"30_3952_0_301_01_211108-175004_bem_654_elicit_0.wav
"	301	male	4.923	16000	vnd.wave	bem	bem	Abakashana babili baleenda munshila 	Two ladies are on the road walking.
37	1	301908754.jpg	"37_11681_4_371_01_211114-151119_bem_5bb_elicit_2.wav
"	371	male	5.127	16000	vnd.wave	bem	bem	nakwata na amenso yabuta	The color of his eyes is white
