IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
2951,A Child in the room is laughing out loudly.,It seems like someone is making the child laugh for it to laugh in this manner.,This child has shown wide it's white teeth.,It's good it's happy because it's nice when a child is with happiness unlikely being sad.,"It's in the room wearing bed time clothes, as if it's from waking up. "
2952,Alot of people in the street are walking while holding the flag of America.,It seems like these people are complaining about something they are not happy about and that's why they all gathered at once like this.,These lot of people are wearing different kind of clothes as they surround the road.,"And I have seen a mother with a child in a pram, I don't know if it's allowed to bring the child in this kind of place",It seems like there is an announcement these people want the world to hear from them.
2953,Two women in a room are sowing with cotton.,It seems like these women are making winter socks for adults.,One woman is looking downwards concentrating very much on what she is doing.,Maybe she is feeling she to capture her or she is hiding her face in denial of being captured.,The other lady is smilling very much facing the one capturing.
2954,Two men are running in the road meant for vehicles.,"I don't know if they are running after each other, chasing something or they are just running. ",These men are even wearing alike clothes.,It seems like they are soldiers because these people need to have a light body weight.,And amongst these men one has run ahead of the other friend who looks chubby.
2955,A lady wearing a bright clothe is standing near the wall.,And she has a violin resting on her shoulder as she stands.,These woman seems she is blind,Maybe she is one of those people who play songs on the road so that people passing by may give them some money.,And she has put the case of the violin down on her legs.
2956,Men are playing football in the stadium.,I think the players wearing a yellow jersey are the home team because the chairs for the spectators are painted yellow too just like their jersey.,In this stadium there are alot if different kind of people watching this match.,"And old men are the many people among the spectators watching, I haven't seen a man or a woman amongst the people watching the match. ","Amongst the players wearing a white jersey, his playing postion number is shown on his back. "
2957,Young children a girl and a boy are sitted together at a place.,It seems like they are watching something ahead of them or they are waiting for something.,This place looks like there are alot of people.,Yes there are alot of people. I think these children are with an adult wearing a brown clothe sitted besides one of the children.,It seems like one of their parents is wearing a brownish clothe besides them.
2958,A man in a short is at a place which looks like a hospital.,I think the ladies are selling something and the man is from checking out.,At this place there are alot of different kind of people with women and men.,Maybe its a market day.,It seems like these people are health workers giving out medicine to people at a place.
2959,Alot of ladies are at a place where they are roller-skating.,Some ladies are just sitted watching those roller-skating while others are just standing.,Among these ladies some are wearing white shirts and shorts while others are dark.,Maybe the game has not yet started. The ladies wearing black are just rehearsing so that they can be ready for the game they are about to play.,This game there are also referees wearing black and white stripes clothes.
2960,Two ladies are standing on the road and one of them is wearing glasses.,"And one lady is looking where they are being captured while the other one is showing her back, I don't know if she is shy or she doesn't want to be captured. ",It seems like these ladies are waiting for a car to pick them up or it's something else.,Or Maybe they are coming from or going to the shop to buy something that maybe be needed to be packed in the bags they have.,All these ladies are hanging women's hang bags on their shoulders.
2961,This old man is in a shop where he is buying eatable fruits.,And there are alot of different types of fruits and the people standing in front of the fruits want to buy.,This shop seems like it's only for fruits where alot of people buy.,Are all these people we seeing just buying or some are even selling?,It seems alot of these people are buying while a few are selling.
2962,Two men are playing basketball ball.,The man in black wants to throw the ball to score but the man in white is making a barrier to the ball.,They are playing in a stadium and there are older men others are watching,And few people are watching. I dont know if people don't like this match.,Among these men one is dark and the other is light in complexion.
2963,Two men in the room are sleeping while the dog is watching them.,Some are sitted on chairs with a table while chatting with one lady.,This house looks big and clean.,It seems like these people are family and friends chatting together then others are tired and have slept.,Among the ones sleeping one is putting on a headsock and a wrist watch.
2964,Some small boys and a girl are very happily excited.,It's likely that these children are siblings because they look alike if you see them closely.,6Among these young boys one is holding a very long gun.,"And others don't have anything in their hands, they are just happy they are being captured. Maybe they have put somewhere else their toys. ",At this place they are it seems like they are on a farm and their father is coming out from the house.
