IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
9451,A young boy is standing holding a fishhook.,it looks like he has just caught the fish because it's still on the hook.,what is he holding on his left hand?,he is holding a fish hook he used.,"behind him is a house and trees, maybe that's his place."
9452,a woman is happily running wearing a shirt with a number on it. ,she must be competing with other people that's why she has a number on her shirt.,"there is men walking behind her, what are they doing?",it seems they are also running with her.,this woman has beautiful flowers around her neck.
9453,two dogs are on the grass with some logs running.,the one in front is jumping the log.,"they have ropes are the neck, one red and the other is black.",the one behind has a red dog cloth put on it.,they could be chasing after something or just enjoying playing on grass.
9454,three kids are on pitch with an older man playing football.,the older on is ensuring that the kids are playing well and safe.,two are wearing the same colour of shirts while one is wearing a blue one.,there are some people sitted on chairs behind and they are facing the other side.,it seems there is people playing football on the other side as the football net is visible.
9455,a child wearing a head cap is on the middle of a crop field holding a bucket.,it looks like he is picking something and putting in the bucket.,there is a man driving a truck carrying people on an open trailer.,"there is women, men and children on the group, where are they going?",it looks like they have been taken for a field tour and just the whole place.
9456,a man and a woman is in the room playing a guitar.,"there is other two people,maybe they are playing too or just watching.",maybe they are also playing and they are have microphones in front.,they even have a white cloth behind maybe it's in the church.,there is words on the cloth indicating what is happening at this place.
9457,A man wearing glasses and a pant is singing.,it looks like he is playing a game and it looks like it's night time.,"there is words behind him,it could be the name of something.","there is some bottles down, could it be alcohol?","it looks like it is the music instruments,that's were the microphone cables are coming from."
9458,a group of men and women are on the platform with their hands raised up.,"they are all holding sticks up, it seems they were dancing in a pattern.",they are all wearing short sleeve shirts with short heels.,is seems they are at the end of the dance that's why they have their hands up.,and there is light on them so that they are visible to everyone.
9459,a boy is up high on a skateboard and wearing a mask.,the mask he is wearing could be for protecting him from cold as he is landing.,what is it that looks white where he is landing?,it looks like snow and far behind is a mountain filled up with snow.,he has bent over a bit to prepare himself for landing.
9460,a man is carrying a woman on a white motorbike.,"both are facing their right, perhaps they are trying to make a stop there.",they have a carrier bag behind the motorbike perhaps they are putting in what they want to buy.,perhaps they are buying breakfast foods because it looks like it's in the morning.,"it's true, and the man has a white shirt on while the woman has a white shirt on. "
9461,a girl child is running looking her right side perhaps she has seen something.,maybe there is someone talking to her because she looks surprised.,there is an empty bench on her right side where people rest from.,"it's true, it should be a resting place and there is some young trees well kept.",it looks like it's a sunny day as she is wearing something short sleeved.
9462,three girls and one boy are standing and drinking something in cups using drinking straws.,two girls have bags on their shoulders.,there is an empty open box on the middle maybe that's where they got drinks.,"there is some encroached benches under the umbrella, maybe kids play there too.",there is also a big building with planted trees.
9463,five men are walking on the road wearing green and white shirts.,"they are carrying a stake with an idol on it, what is going on?",it seems they are celebrating Christmas because only Jesus was put on a stake.,they are going round to inform people above Jesus and God.,it's during the night because light is just where they are passing and there is a man watching.
9464,"two young girls are playing basketball, one is holding the ball the other one has her hands up.",it seems the one with hands up is trying to get the ball.,"it's true, and she is holding her friend on the hand.",she is trying so hard to get the ball away from the friend and the friend wants to throw the ball in the basket.,they both have well tied hair so that it doesn't distract them as they are playing.
9465,"five men are at a certain place, two are seated on the bench while three are standing.","it looks like they are not together, each one is minding his own business.",maybe they are all just waiting for something because they are old people.,Maybe they are workmates trying to get some fresh air.,it seems they are on top of a tall building as only the sky is visible around this place.
9466,a man is standing behind the vehicle trailer reading something on a paper.,"there is animals tied up,what animals are they?",it looks like he is carrying pigs.,it looks like he is about to go round selling these pigs.,there is a white box inside with words on it.
9467,a man is seated on a chair with a cup on the table.,"there is alcohol in the cup, it seems he just about to start taking as the cup is still full.",he is holding something in the hand and there is something that looks like a paper on the table.,maybe he is holding money trying to pay for the alcohol.,however he doesn't look happy on the face maybe he has just gone to have time alone.
9468,three men are seated near a building wall maybe they are resting.,"they look exhausted, what were they doing?",it looks like they are on a construction site because there is building sand.,it looks like they are far from finishing the work.,"the wall looks damaged, maybe it's the one they are building."
9469,a man is on a big building skating with his hands stretched straight.,there is tall buildings where he is.,he is skating on a wooden bench perhaps people even rest from there.,"there is more other benches, it's clear people rest from there.","it looks really high, he should be on top of the building."
9470,a girl is bent over on the loan grass.,"she is holding a golf stick in the hands, perhaps there is a ball she wants to use it on.",she is putting on a blue shirt with a head cap.,there is trees nearby maybe the golf course is far from homes.,he is wearing a short maybe the expected attire.
9471,ladies and men are standing at a certain place it seems there is something going happening.,a woman is standing on a two wheels scooter.,there is an old man wearing glasses and reading something.,it seems he is talking to the lady on a wheel scooter.,the wheel scooter has a small carrier bag on the handle.
9472,a man wearing a head cap and glasses is standing on a big stone.,it looks like he has a shoe in his hand.,maybe he is with somebody and has just helped carrying it.,"it's true, he could be with friends at this place.",in front of him is a log bridge to the other side.
9473,old men and women are seated near a table and they are eating.,they all look different and they are wearing head covers.,maybe they are celebrating something because they seem belonging to one generation.,there is a television at the end.,they have decorated the house and put pictures around.
9474,a young man is skating on snow.,it looks like they just poured snow on a small portion for him to skate well.,it's true because the rest of the place has no snow but grass.,he should be practicing or teaching himself how to skate.,he is looking behind maybe there is someone guiding him.
9475,a young boy is jumping from a stone onto the sand.,"he has his hands up and looking on the sand, it looks like many people stepped on it.",and it's too sunny that it's shining on the waters.,"it's very true, there is too much sunlight.",the ocean is surrounded by mountains and stones.
9476,men from two teams are on the pitch.,some are wearing a black jersey others red. They have come to compete.,they are playing on healthy loan grass with white lines on it.,the white lines is guiding them when playing.,"among people watching, some are are wearing orange coats, maybe they are peace keepers."
9477,"two young kids, a boy and a girl is standing holding two sticks each.",there is a crowd of people behind the kids.,what is the use of the sticks?,maybe they are playing a game that is why the women behind are capturing.,"there is sunlight, maybe that is why the boy is wearing a head cap."
9478,a man and a woman is standing holding a paper with words on it together.,the words on the paper are saying children and peace.,they are holding each other's waist maybe they are married.,or maybe they are just very good friends.,"there is people behind them, others are seated on chairs others are standing."
9479,a lady is seated with headsets in her ears reading a book she is holding.,it looks like is on a train travelling to somewhere.,this lady is seated next to what?,it seems she is just alone.,and it looks like she is seated next to what looks like a door.
9480,a boy is standing and it seems he is washing plates.,there is a lot of plates maybe there was a lot of people eating.,there is a cooking stove on his right side.,could it be at a market where he sells food? because there is a lot of plates.,"that is how it looks like, there is no house or building nearby."
9481,a young man is holding a tennis racket.,"it looks like he is competing with somebody, he isn't alone.",the head band and one on his hand has the same colour.,"there is a woman behind wearing a red shirt and head cap, what could be her role at this place?",maybe he is coordinating the game or he is just a supporter one team.
9482,a young man and an old woman behind are staring at something.,there is two other people standing while the old woman is covering her face from sunlight.,the man in front has both his hands in the pockets.,he could be looking at something or talking to somebody in front.,"it's not a cloudy day, the sky is clear."
