pair_id	sentence_id	bem_transcription	en_translation
30	1	abantu baleufwa imbila ukufuma  mwaume uufwele suti iyafila	people are listening to news from a man wearing a black suit
13	2	Elyo na ilolekesha kumuntu ulekopa, na iposako sana amano afwile emwine	It's looking at the person who is taking this photo and it's concentrating perhaps that's the owner of it.
17	1	Umwana umusungu umonono nalala panshi	A young white child is sleeping on the floor. 
11	1	Pali akalishitima akanono akapulashitiki akakwangashi abacaice	There is a small toy train 
27	2	Nangu acifwayafye ukupitapo ifi fine kabili abalumendo bamo tabakwata mwenso.	or maybe he was just passing through, you know young men do not have fear
37	1	shitata alelisha umutolilo wakukanwa	a man is playing a saxophone 
12	1	ibwa yatoloka mumulu	a dog has jumped up
20	2	Ndeelenganya inshita nkayako ifyo nkalafwala, pantu uku na amakoti yengi ukucilapo fyonse.	I'm thinking of what I'll wear the time I'll go there, because coats are more than anything else there
25	1	Pali utwakuteyelako icangalo capalana na dlafuti icakucimfyanya abantu babili	They are playing  a game that is similar to draft and its played by two people 
30	1	Abantu nabekala pancende yakulilapo	People are sitting in an eating place.
5	2	ing'ombe iyafita fititi.	a cow is black in colour
11	2	Bushe finshi alecita  uyu  mwaume kabili mulandu  nshi alefwalile ifi?	what is this man doing and why is he dressed this way?
35	1	Nalimo ni umo uwa muli balya abantu abalanga abantu ifintu ifyalekanalekana, limo balangala na umlilo.	Maybe he is one of those showmen, sometimes they play with fire.
38	1	Ee, pali na ifikope ifya mfuti ishalekana lekana pa cipampa cimo pai ici cine cikuulwa.	Indeed, there are are images of different guns on one of the posters.
33	2	umo umulumendo naikala kabili alelisha banjo yakwe iyo ekete ku minwe	The guy is sited and playing the guitar he is holding 
16	1	awe shakwelelepo pali ici cintu 	No i have not climbed on this thing before.
27	1	Aya mukwayi efyo cilepala kwati baleya kung'anda, apa bali balelolela aba fyaishi baibo.	yes that's true, the definitely are waiting for their parents
4	2	iyi imbwa tailifye imo mukwai, pali nayimbi ilikumbali eyo balecinfya nya nayo	There is another dog.
22	2	ku numa yakwe kuli ipepala ya kashika	there's a brown paper behind him
37	1	Aleya alebuutuka mumfula pakwebati abukile kwishilya lya musebo	he's running  because  he wants to get on the other side of the road 
2	1	imbwa shitatu isha pusana shile butuka, ku kuso sha iko kuli icibumba ca nganda 	different types of dogs are running and on there lifts there is is a house
29	1	umukashana umo ali munshila aleenda naikata nakakopo kuminwe,kunuma yakwe kuli na ibumba lyabantu.	Alady is walking in the road while holding a tin in her hands, behind her is a group of people.
20	2	Nangula kucipatala, kabili kuli nakalemba wamashina yabo aleita.	or at the hospital, because there's a machine operator calling to them
25	1	Umukashana ufwele akapimpinya naikala napa njinga.	A woman putting on a short skirt while sitting on a bicycle.
6	2	ali kuncende ilemoneka nefyani ifyafunda ifingi ifyakatapakatapa elyo kwalipita nakamana akakalamba akanyongana	He is at a place that has a lot of green grass  where there a meandering stream.
1	2	amwanakashi naimya ukuboko ukwakumuso nimulandu nshi	why has the lady raised her left hand?
