pair_id	sentence_id	image_id	audio_id	speaker_id	gender	duration	sample_rate	audio_format	recording_lang	native_lang	bem_transcription
28	1	4687695415.jpg	"28_3666_0_281_01_211112-211537_bem_d8d_elicit_0.wav
"	281	female	5.558	16000	vnd.wave	bem	leh	ibumba lya bantu naba kolongana petebulo kwishilya lya mumana.
21	2	2911706853.jpg	"21_1824_3_212_02_211113-132747_bem_85e_elicit_1.wav
"	212	male	13.408	16000	vnd.wave	bem	bem	namayo uwaci kulile uuli kunuma ya uyu uule wamya imishishi sha uyu wikele alemoneka uwa mwentula, nalimo natemwa fintu balemu wamya, bushe kuti aba nyina wa uyu balewamya imishishi aini?
22	2	372372614.jpg	"22_1978_3_222_02_211108-170631_bem_004_elicit_1.wav
"	222	female	5.059	16000	vnd.wave	bem	nbl	"icipepa cimbi ciletila""baleteni ku ng'anda"""
19	1	3242718240.jpg	"19_1279_0_191_01_211108-210321_bem_665_elicit_0.wav
"	191	male	9.006	16000	vnd.wave	bem	bem	Utwaice twa mutundu wa Cingeleshi natucensa lintu tushintilishe kucibumba.
19	2	260392825.jpg	"19_1401_3_192_02_211110-165222_bem_d8d_elicit_1.wav
"	192	female	5.944	16000	vnd.wave	bem	leh	uyu shitata alemoneka ngauntu àkalipe nagula uulepapa.
13	1	78984436_ad96eaa802.jpg	"13_6953_0_131_01_211031-150838_bem_9ed_elicit_0.wav
"	131	male	7.532	16000	vnd.wave	bem	nya	Imbwa shibili shile butuka muku tentemuka paka chulu. Imo naimya ne chimuti kukanwa
11	2	2930514856_784f17064a.jpg	"11_6428_1_112_02_211031-054806_bem_1e5_elicit_0.wav
"	112	female	11.162	16000	vnd.wave	bem	bem	Umwaume umo nanina pa cakushelelapo pa menshi kabili alepilibuka nama bimbi
31	1	3885251820.jpg	"31_4308_2_311_01_211110-114327_bem_85e_elicit_1.wav
"	311	male	5.808	16000	vnd.wave	bem	bem	cine, calikwata nefyapala imicila ishingi nganshi, nomubili uwatelela
36	2	1462461942.jpg	"36_11412_3_362_02_220227-140841_bem_d0b_elicit_1.wav
"	362	male	12.251	16000	vnd.wave	bem	bem	apo aba bantu bonse nabakwata ifyabomfye fyapusana pusana bushe kwena balecite nshi apa bali apali necibumba cafiit kunuma yabo?
37	2	519990397.jpg	"37_5912_1_372_02_211112-102227_bem_aa2_elicit_0.wav
"	372	female	4.741	16000	vnd.wave	bem	bem	nafwala nechisote kumutwe nokumwentula namwentula
13	1	2261962622_e9318a95eb.jpg	"13_6884_4_131_01_211031-095304_bem_9ed_elicit_2.wav
"	131	male	2.178	16000	vnd.wave	bem	nya	Efyo chile moneka
19	2	2416193212.jpg	"19_1400_1_192_02_211110-164345_bem_d8d_elicit_0.wav
"	192	female	5.558	16000	vnd.wave	bem	leh	uyu namayo nafwala itoloshi lya buta, nensapato shabuta.
14	1	300148649_72f7f0399c.jpg	"14_7025_0_141_01_211111-084213_bem_f08_elicit_0.wav
"	141	female	6.67	16000	vnd.wave	bem	bem	Umulumendo alelisha piano yamuka cola ninshi naikala pakaliwilo.
24	1	3450158776.jpg	"24_2664_2_241_01_211110-153824_bem_150_elicit_1.wav
"	241	female	5.649	16000	vnd.wave	bem	bem	Kunuma ya mulumendo pacipulututu kuli impili nefimiti ifingi pamulu.
36	1	321365748.jpg	"36_11379_4_361_01_220129-165438_bem_57f_elicit_2.wav
"	361	female	10.572	16000	vnd.wave	bem	bem	aba baume bonse baleimba lwimbo kabili balemoneka ukutila baleimba ukufuma panshi yamutima kumona fye ifyo balemoneka pamenso yabo
37	1	4848645410.jpg	"37_11605_4_371_01_211114-080441_bem_5bb_elicit_2.wav
"	371	male	6.579	16000	vnd.wave	bem	bem	 umulumendo emininefye eka takuli nangula umo uulemoneka
37	2	4702314317.jpg	"37_5816_1_372_02_211111-162701_bem_aa2_elicit_0.wav
"	372	female	11.366	16000	vnd.wave	bem	bem	Pakantemba apa pene palemoneka balashitishapo nafimbipo ifyapala ifitumbuwa, amabanshi nafimbipo ifyakunwina pali coffee na chocolate
10	2	2633722629_5eeb649c09.jpg	"10_6128_3_102_02_211102-074218_bem_ddd_elicit_1.wav
"	102	male	4.424	16000	vnd.wave	bem	bem	banakashi nangula baume baletoloka apa
2	1	3047264346_e24601bfbf.jpg	"2_4210_2_21_01_211102-123214_bem_2a5_elicit_1.wav
"	21	male	6.216	16000	vnd.wave	bem	bem	umo nafwala Ica kuicinga ku menso icapala imbwa
20	1	317413869.jpg	"20_7356_2_201_01_220116-200023_bem_62a_elicit_1.wav
"	201	female	5.399	16000	vnd.wave	bem	bem	elyo alemoneka uwasekelela ilyo alebika umuti
26	2	7011674039.jpg	"26_3037_3_262_02_211109-131110_bem_8f1_elicit_1.wav
"	262	male	6.556	16000	vnd.wave	bem	bem	Nabo abantu bali abengi abale tamba ubu ubwangalo bakateya baleteya
26	2	560671767.jpg	"26_8791_1_262_02_211111-160228_bem_dcc_elicit_0.wav
"	262	male	8.825	16000	vnd.wave	bem	bem	uyu shitata paka Puna chipalile nabu mukola ubwalwa bwakafwafwa buntu alenwa patebulo
20	1	4565405799.jpg	"20_7359_4_201_01_220116-200227_bem_62a_elicit_2.wav
"	201	female	7.418	16000	vnd.wave	bem	bem	awe kwena nga kwali ifipu Teti bakaleke aka kashana ukwikala pafyakufwala
26	1	2512905710.jpg	"26_8945_4_261_01_211112-062325_bem_8f1_elicit_2.wav
"	261	male	5.445	16000	vnd.wave	bem	bem	Ehe pantu ninshi katwishi eco engayi kobekela ifintu ngefi
19	1	4283472819.jpg	"19_7106_0_191_01_220118-140440_bem_524_elicit_0.wav
"	191	female	2.949	16000	vnd.wave	bem	bem	Umulumendo ali mumulu 
6	1	634891010_9fa189effb.jpg	"6_5188_0_61_01_211029-073118_bem_976_elicit_0.wav
"	61	male	9.755	16000	vnd.wave	bem	bem	imbwa shibili ishikulu shafuma mucilindi ichaimbwa elyo iyili pantanshi yena ilekuta iloba ilyabuta. 
19	2	4756060695.jpg	"19_1273_1_192_02_211110-072122_bem_d8d_elicit_0.wav
"	192	female	5.626	16000	vnd.wave	bem	leh	Namayo umo aledonsa ifyola, cimo icafita elyo cimbi ica buta.
29	2	3944169186.jpg	"29_9464_3_292_02_220111-123105_bem_94f_elicit_1.wav
"	292	male	9.324	16000	vnd.wave	bem	ngo	Cifwile ale fwaisha saana uku poko umunankwe umu pila, nangula umunankwe ale fwaya ukwingisha umupila mwisumbo
22	1	4346777629.jpg	"22_7851_2_221_01_211112-195527_bem_004_elicit_1.wav
"	221	female	1.905	16000	vnd.wave	bem	nbl	uku naku talala sana
31	1	3718892835.jpg	"31_4293_2_311_01_211110-093408_bem_85e_elicit_1.wav
"	311	male	5.739	16000	vnd.wave	bem	bem	emangalo yene aya, ukupilibula akantu akwelelepo nalimo ala pona nelyo tapone
36	2	2785831737.jpg	"36_5616_1_362_02_211114-153527_bem_dbf_elicit_0.wav
"	362	female	13.362	16000	vnd.wave	bem	bem	Namayo aleipika ifyakulya ifya lekana lekana kulefuka ne cushi elyo umwana naikala munshi yetebulo
35	2	2830869109.jpg	"35_11014_3_352_02_220117-180935_bem_f12_elicit_1.wav
"	352	female	2.336	16000	vnd.wave	bem	bem	Ninshi ilecitka nomba?
37	2	3025513877.jpg	"37_5775_1_372_02_211111-092131_bem_aa2_elicit_0.wav
"	372	female	10.685	16000	vnd.wave	bem	bem	nampimpa itoloshi mumulu naminwe yakwe,kumutwe nafwala nakasote kamulopa mulopa ako akapalene na ishati afwele
32	1	2458862292.jpg	"32_10391_2_321_01_220123-145856_bem_b8a_elicit_1.wav
"	321	male	10.89	16000	vnd.wave	bem	bem	Uyu mwaume eminine panse yamotoka iili pa musebo munshita yakasuba 
12	1	3739833689_a0038545bd.jpg	"12_6675_4_121_01_211106-065835_bem_9ed_elicit_2.wav
"	121	male	5.626	16000	vnd.wave	bem	nya	Epo kale lolesha  panshi, kale moneka kwati kale tonto kanya
36	1	3084752813.jpg	"36_5457_0_361_01_211113-124445_bem_654_elicit_0.wav
"	361	male	13.975	16000	vnd.wave	bem	bem	Banamayo batatu baleshita ifyakulya pacikontena mumbali yamusebo elyo Pestolo palemoneka ifyakulya ifingi pamulu we tebulo.
4	2	1931690777_897a7d8ab6.jpg	"4_909_3_42_02_211026-000155_bem_5a5_elicit_1.wav
"	42	male	6.647	16000	vnd.wave	bem	bem	Ndemona futi aba abaice bali aba sekelela sana lintu bale tolokela mumenshi
29	2	4854547386.jpg	"29_3856_3_292_02_211114-132926_bem_a9e_elicit_1.wav
"	292	female	6.352	16000	vnd.wave	bem	bem	nomba umukashana nankwe balemusosha abalumendo lelo amano yakwe yalifye pali lamya.
32	1	4971112709.jpg	"32_4658_2_321_01_211112-191458_bem_e94_elicit_1.wav
"	321	female	5.966	16000	vnd.wave	bem	nya	mumusebo bale enda muli abantu abengi abale tamba ifintu balecita 
