IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
2001,A man and a lady they have huged while standing,They are looking happy,A lady has brownish hair color,what are they doing?,They are standing prepared as they are taking a photo
2002,A dog is running,where is it running from?,It is running from the water in the river,It has fur with two colors a pure white color and a black color,It looks as though it is scared
2003,Alot of men and women are standing outside around a man standing in the middle,what is the man on the middle doing?,"He is showing people how to do something , maybe like  how to dancing",All people standing around this man are looking at what he is doing and they have paid much attention,A place where they are is very cold because everyone is wearing warm jesses
2004,A gentle man is climbing on a big rock,As he is climbing he is hold a big rock with one hand while the other hand he is holding his waist,How is the place looking,He is at a hilly  place with big and tall rocks,On top and around the Rock there is snow
2005,A gentle man is on a black horse,He is holding tight the ropes tighed around the horse,what is happening?,The horse is jumping a black horse,They are at a nice place with  green trees and grass
2006,Two dogs a whitish one and a blackish one are in one position in the ground,The dog with whitish color is carrying a plate on its mouth,What is happening?,The dogs were fighting for the plate,The dog with blakish color is running while carrying the plate
2007,A man is with four dogs on the outside,A man is on a metal  made materia,All four dogs are tighed with ropes,The dogs are pulling a man who is on a metal made materia,This place where they are there is snow
2008,women and men all together four are standing during night time,"Among these people ,three are woman while one is a man",How are these people standing?,"Two women are standing in front while the other two ,a man and a woman are standing behind the two women in front of them ",The two women in front have a white skin color while those behind them are of black skin color 
2009,An old man has two dogs on the grass,where are they?,They are at the playground,The old man is playing with dogs,"The place where they are, looks nice and there are green  grasses and trees"
2010,A boy and a girl  are at the same place during the day,A boy is standing on a playing material he is with a girl standing on the ground,what is the girl doing?,She is watching what a boy is doing,A place where they are is very beautiful it has flowers and tall trees
2011,A dog with whitish color is sleeping on the ground facing upwards the sun,It has opened it's mouth  and its legs are standing upwards,What is this dog doing?,It's playing in the ground,In the ground there are short green grasses 
2012,A lady is in the ground where they play ball games,What is the lady doing?,she is playing hand ball to pass time,"The lady is wearing  a hut on her head ,socks, and shoes used to play this game",All the people are standing in the ground watching the lady playing the game 
2013,A lady is sitting down with her legs laying straight down on the ground,where is the lady?,She is on the banks of the  river,The lady is just alone near the river and she has removed her shoes,The lady has a hut on her head
2014,A dog is standing straight on its two behind legs,what is the dog doing ?,It's playing and it's happy,"the dog has fur with two colors ,it has more fur with black color than white fur",The dog is in the ground
2015,A white skined man is standing  outside  yard,what is he doing,He is looking at something he has on his hand,He is at a place where there are other people,The place where he is it's cold and he is wearing a Jessy
2016, people are around a beutiful place siting down,What are these people doing?,"These people are enjoying, they are siting on the grass during the day",These people look as a family that has come to have good time,They have a new born baby on the centre and they have put a new born under an umbrella to provide shade
2017,Ayoung man and a young lady are siting outside a building,They are siting on a short slab made of bricks,They are facing each other and forded their legs while siting,What are they doing?,It looks as though they are discusing
2018,A boy is on a  bicycle,He is on a tired road,He is wearing a bicycle hut to protect his head,What is he doing?,He is cycling a bicycle but he has put his legs on handbar
2019,female parent is carrying a baby ,She has carried the baby in front and she looks joyful,Where is she standing,She is standing on the uges of the road,Aplace where they are standing there are upstaired buildings ner the rad but on the midle of the road there a vehicals
2020,A boy is on somethng used to play,He is wearing a hut on his headand a jessy,How is he looking,He is a white skinned boy  and he looks very joyful,What the boy is standng on is made of matals and there is a green tree
2021,Different people are in a building,One gentle man is standing near the table,What is the gentleman standing doing?,He is preparing and packing food on a plate,Other people who are sitting are eating food
2022,A tall tree with leaves,This tree has alot of branches,There is a bird on the branch of this tree,What is the bird doing?,It is sitting and resting
2023,A girl is sleeping down,What is she doing down?,She is Dow crying and she is upset,Who is she with?,She is just alone and near her head there is a drinking  bottle
2024,Two gentle men are in a ball field,what are the gentleman doing?,The gentleman are playing  ragiby,These men are jumping and running trying to get the ball from the friend,Out the field fence there people watching the men playing the ball
2025,A gentle man and a lady are walking on the road.,The gentleman is in front of a Lady and he is holding a plastic bag on his hand,The lady is wearing jewelry or necklaces on are neck and she is carrying a bag,Both are looking happy,A place where they are passing there are other people and vehicles
2026,A lady is standing outside during the dayand her hair is scattered,why is her hair scattered?,Because she is dancing,What is she dancing too?,She is dancing to a juiter a man behind her is playing
2027,Three dogs are standing in a line in a play field,"These dogs have different colors ,one has  grey color another one a black color and the last one has two  colors a black and white color",what are these dogs doing?,The dogs are running in the field, At the edges  of the field there are  tall trees
2028, gentlemen are in a ball field ,What are there doing?,They are playing ragiby,They are wearing same jesses  weared when playing ball and huts on there heads for protection,Outside the field there are people watching
2029,People are at a snow place,What are people doing?,people are playing on the snow,"People at this place are wearing jesses, gloves and heatsocks because the place is very cold",Around the place there are tress and on the tree leaves there are snow droplets
2030,A boy is with his father dui the day,The father is holding a boy behind with his hand,They look as though they are getting a picture,They are at a beautiful place,A place where they are is a falls
2031,Alot of people are in stadium,What are these people doing?,People are watching competition games,one man is holding a camera,He is sitting capturing the game being played
2032,A boy is with a girl child,The boy is holding a Jessy on one hand and on the other hand he is holding a girl,What are they doing?,They are modeling nicely and they are happy,There are alot of people in this room watching how the boy and girl modelling
2033,A child is on bicycle beside the road,what is he doing with the bicycle?,He is cycling a bicycle,The child is wearing a hut and shoes for protection,He is cycling a bicycle in a straight gravel road
2034,Two dogs are out side on the grass,One dog has a white color while the other dog has black color,The white dog is sitting down while the black dog is standing on top of the white dog,What are these dogs doing?,These dogs are playing after getting full from eating and they have thrown the plate
2035,A fat dog is in the house.,It is standing still with it's ears down,what is it doing?,It is biting a doll on its mouth,it is holding the doll tightly it looks like it doesn't want to let go
2036,A man is at a mountainous place,He is on a slide used to slide on snow,"He is wearing warm clothes on his foot, head, hands and legs",On top of rock there is snow,there is a place where there are tall trees
2037,A parent is with a child in a building,What is a parent doing?.,The parent is playing with the child  he is blowing his chicks,The parent has paid much attention to the child and the child is looking  at the parent,A place where they are looki like a working place
2038,A boy is on  a swing during the day,what is the boy doing?,The boy is swinging on a swing,He is sleeping on his chest while swinging,The swing is the children's playground
2039,A gentle man and a lady are laying on the  grass during the day,The gentleman and the lady  have lifted their legs on top,How are they looking?,They look joyful they like what they are doing,A place where they are there are white buildings
2040,An adolescent  is flipping during the day,Where is he?,He is at a children's playground,At this place the child seems to be alone,Besides where is is flipping from there are tress
2041, A black slim dog is in the sports ground,What is the  dog doing?,it is running and running after the birds,Near the field there is a river,Across the road there are vehicles
2042,A dog is standing on its two legs,A dog has a blue belt in it's neck,What is the dog doing?,It looks like  it's barking at something,The dog standing on the grass  and there are tress  in the sides
2043,Two old women are standing alongside the road holding hand bags,what are they doing?,They are discussing something,They look as though they have paid much attention to their story,Along side the road they are standing near there is a tall hall fence
2044,A lady is on a tree during the day,what is she doing on a tree,She is playing on a tree branch,she is sleeping facing upwards holding the tree with her hands and legs,
2045,A dog is in a play field alone during the day,The dogs has fur with two colors a black color and a white color,What is the dog doing?,The dog is just on there metal rods,These metal rods are at a different distance one at a higher level and another one at a lower level
2046,A young man is at a place where there is snow,What is he doing at this place?,He is playing with snow,A young man is wearing things to protect himself  on his hand and legs ,He has stepped on a snow board while sliding on snow
