IMAGE #,SPEAKER_01,SPEAKER_02,SPEAKER_01,SPEAKER_02,SPEAKER_01
841,A man and some women are at the market selling and buying,there's a lady in grey hair what is she doing where she's bent?,she's choosing from the red tomatoes in two baskets that the man in the grey shirt and white and yellow cap is selling,"the man is smiling as he is looking at the woman choose the tomatoes, have you seen the ladies near also selling things?","yes I have seen them, they are two, one is looking at the lady choosing the tomatoes, there's a table near them with a lady buying something and also a tent where they are selling clothes"
842,two men with two women are standing in a room,"they are men in between with two women on both their sides at their end, what are they holding?","they are holding guitars and playing music, the man in a grey shirt with the girl in the red dress have their guitars on their shoulders","have you seen the man in black, the one that's paying attention to what he is doing perhaps to his guitar?","yes he has put it on his thighs and there's a lady in front of him in a white shirt singing, and next to them are their guitar bags"
843,A man is with his grey bull that's white on its face is running over him,"the man is wearing an helmet and a mask, but why is he on the ground in such a way?",it seems he is in a bull racing competition but he fell off his bull into the mud on the ground,that sounds right because his hand and feet are still stuck on the bull's back then it's the rest of his body is in the mud on the ground,they are lots of people on top standing and watching him play this game
844,"some men are boxing each other, one is dressed in blue while the other in grey",what are the doing on the yellow floor that they are about to fall on?,"the one in blue is trying to push the other one to fall such that he is squatting on top of him, but he doesn't want to fall and is holding the floor with one hand","then the other he has made a fist bump as though he is about to hit his friend, where are they?",they are inside a fighting field with people sited on chairs watching them
845,"seven people among them men, women and children are in one place doing different things",have you seen the man standing with his hands in his pockets dressed in white?,yes he is standing next to where they are selling different red and white items used in Christmas celebrations,"that's true, where is he?",he is at the market what they are different people heading towards a storey building
846,one man with three ladies are at the river banks near a tree,"they are lots of people behind them, what are these four doing?","the two ladies, one of them in shorts have jumped high into the air with legs folded behind them",the lady in a jean trousers is really excited because she has her mouth open and both hands are up in the air,then the one in a black bra has only lifted one leg not so high and she is carrying two bags on her shoulders
847,seven young men are standing on a storey building while leaning against something,"five are wearing white shirts while two are in black, what is this one in black doing between two in white?","he isn't leaning against anything like the rest, he has bent over while other men seem happy as though they are telling him something or bullying him","of the seven, four are wearing specs, then one of them is holding a paper","next to him is one that doesn't seem happy about what's happening and has looked elsewhere, they are at school with people behind them"
848,three little girl of slightly different ages are in a vehicle,"they are playing during the afternoon, what are they playing with?",they are throwing hay into the air,why are they doing this?,they are throwing it out for the brown horse on the other side of a rope
849,A man in a blue shirt and black and green shorts is standing next to a swimming pool,what is he doing and what is he holding?,"he is holding a pool cleaner, a tool her will use to clean the pool","from his facial expressions, he seems excited about the work he is about to start doing and he is wearing a cap",and he is standing near a picket fence with trees behind it
850,four men are in an incomplete storey building,what are they doing in this place when it's this sunny?,one is on top plastering and building while the other is on a ladder building on the sides then the other two are standing and watching,"near them are some road signs showing boundaries and people not to enter the building, what's this man doing on this side?",he is passing close to the signs near the white and orange rope and one of the signs has fallen on the ground
851,a family that has the male children is standing as they are taking a picture,"they are five and are standing on a tarred road side and they are very excited to take the picture, the mother is the one in between","there's a beautiful tree behind,a building and a lady that's squatting at a distance",have you seen the young lady in green that's walking on the road?,"yes, she's carrying black bag pack and on her phone as she's walking"
852,a black dog is on top of some building shatters ,what is the dog doing?,"undoubtedly, it seems to be looking for something in the shatters, you can wonder if there was a natural disaster or people just dump things",have you noticed that they are two men dressed in same way behind the dog?,"yes I have seen them and it seems there's another person close to then, it seems like they are searching for something and there's some soil stuck neatly on one side"
853,A man is in a basement,what is this same man dressed in black with a black hat doing?,"he is holding a paper in his hand and holding a sound instrument, it seems he is playing a song","this basement has many beautiful colors in it, what's that on the wall he is leaning against?",they are some beautiful black drawings on both sides of the wall and near him is a man ascending the stairs
854,"Four people, among them a mother a little girl, a little boy and a young man are in the same place",what is the mother and the two kids doing?,they are watching the young man on his skateboard and are in shock,why is this young man on top of a iron bar and where are they?,"it's because he is skating, that's why the kids are shocked and they are infront of a building"
855,a man is sited on an erect sitting wall,he is wearing a yellow jacket and a blue jean trousers,"you are right, have you noticed where he is?","yes he is sited near the sea and the water looks green, have you noticed what he is doing?","yes I have, he is holding a tiny paper in his hand, it seems he is reading something "
856,a man is squatting near a very short erect wall at a construction site,why is he dressed this way?,"it is because he is a construction worker and that's a work suit the helmet,the gloves and his boots","that's true, the erect wall he is measuring is on the river bank","that's true, and this place has many tools and many things they are using"
857,"a little young girl is doing back flips, her head is on the ground while her feet are in air","she's wearing shiny clothes, why's she doing this?",she's just playing that's why she's doing back flips,she's doing back flips on what seems like a black brown bed,"that's true, she looks very happy with what she's doing she's even smiling"
858,a man and a lady are inside a building hugging and kissing,"they both have bags, the lady has put it on her shoulder then the man has it on his back and wearing glasses","this place is full of people both male and female, have you seen what they are doing?","yes, the people behind them are watching the musicians playing their music instruments",yes that's true because there's a a platform with two people playing their guitars and almost everyone in the crowd has a bag
859,"in the evening, a crowd of people is gathered in one place","most of them are dressed in black, have you seen the man behind wearing a black jacket with a white shirt inside the jacket?",yes he has a camera and he is capturing everything happening,"certainly, but what are these people doing?","they are gathered in front of a huge building, it seems they are watching something because the lights off the building are on and people are capturing"
860,a little boy child in a red shirt is sited on a couch,what is he doing?,he is watching some cartoon on TV and he has paid attention to it,where is he?,he is in the sitting room that has a mounted Tv on the wall
861,A little girl child dressed in red and white is sited on top between a sculptured lion,what is the little girl doing?,she seems lost and she's crying as she's sited,"well that's true, is that why these two people are standing in front of her?","yes that's why there's a man and woman, it seems the man is asking why the child is crying as the lady explains and she's very close the child"
862,a number of people both male and female are on the road in a certain place,what are these different people doing?,"some are walking, others are near a store, while others are on their phones and others are riding their bicycles on the broad road","yes you are right, some people are on one side while others on the other side with what seems like a short fence between them","and it's a yellow fence, this place is full of storey buildings and vehicles on the road"
863,a man is sited on a chair painting on his at stand,"he is wearing blue shorts with a white shirt, have you seen what he is painting?","yes he has drawn two people, a man and a woman that are very happy, he is a really good artist! they look so real","indeed! then there's a lady close to him in a white shirt facing the other side, she seems lost in thought she leaning her cheek on her palm","yes it seems so, then near her are beautiful red flowers, and they are people heading in different directions walking on the road"
