IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
4001,The dog is running in the green grass yard.,some grass seem dry and with mud,To the right side of the dog seem to be foot steps of two people and a dog.,The dog has three legs in the air as it's running and one leg on the ground.,the do running has white hair with spots and another has black hair
4002,A young boy is at what seems like a table,"His looking at the right side,it's like his talking to someone and his smiling as it it looks like his signaling someone with eyes.",His holding what looks like a white and green bottle with yellow letters to his right,His wearing a blue log sleeved shirt with one hand on the table,Beside him is a round plate of yellow food and a table mat
4003,a little boy is running in a place with heaps of grass,"this little boy is wearing a black vest with a picture of a horse on the back, he is also wearing a red shirt inside the vest ",he looks very happy and his vest is blowing in the wind as he is playing ,he has a moustache drawn on his chin ,there's a green and blue jumping castle in the area in which he is playing 
4004,a young lady is walking on a bridge,"she is wearing a mini skirt, a black shirt and sandals, she is holding a bottle of water in her hands",there are many cars going the opposite direction ,there's an older lady walking towards her and on the young lady's left side there are some people just standing on the bridge,one of the people standing is looking over the bridge and the other two are on their phones
4005,a young boy is standing outside a house on a porch at night time ,he is wearing a spider man outfit and has little bucket in his hands,he is standing on his toes in order to reach the door buzzer,there's a white chair on the porch and a door mat at the door,"the house has a brown door and white and gray walls, there are lights on at a distance "
4006,a little boy is holding a hose ,he is standing in a backyard and there's a fence behind him and a chair,he has blonde hair and is wearing a plaid dress shirt unbuttoned at the top,he is holding the hose close to his mouth like he is drinking from it,theres a wooden terrace behind him and a barbeque grill too
4007,a man is in the air on a snowboard,it looks like its either dusk or dawn,he is wearing khaki pants and a long sleeved balck shirt,he is on a hill on top of a buiding and the snowboard he is on is white yellow and black,theres a city that can be seen not so far away
4008,a fairly older man is an area with a railway,he is wearing a black hoodie with dirty jeans,"he has scruffy looking hair and a gray beard, he looks qyite thin","hie is holding a piece of paper with the words""hungry"" written on it",behind him are shops and stores as well as electricity poles
4009,a woman and her child are at a play park,"the woman is wearing a plaid coat, leggings and red dress shoes","the woman  has a bag hung on her shoulder, she is bending toweards the left as if she is trying to look at somethung",the child is on a wooden bear she is wearing a striped pants and a long sleeved shirt,theres is a building with many windows a road nearby and tress that are providing shade to the area
4010,a black dog is playing near a waterfall,it is standing in a small stream that the waterfall is falling into,it is looking to its right like it is looking at something,"theres a large rock behind the falls, theres a shade behind the dog too ","the dog is wearing a red collar and it is wet, it also has its tongue sticking out"
4011,a man is rock climbing he even has a watch on his wrist,below the rock is a forest of different trees,he is wearing rock climbing gear and sandals,he has a safety girdle in his waist and the rope is passing through a hook in the rock,"there are plants growing in the seams and cracks of the rock, there are also blue and red ropes above him"
4012,two men and a woman are standing in front of a store and area smiling,"the man on the left is wearing two jerseys, jeans and a scarf as well as a headsock","the woman standing between the two men is wearing black pants and a long coat, she also has a red bag",the man on the right is wearing jeans and a blue coat as well as a kacki bag,there are posters on the window of the store and a fire extinguisher in the corner of the window
4013,a man and a woman are standing on the sea shore and there are waves on the water,"the man is holding a fishing rod  and is wearing a jersey, pants and canvas",the woman is wearing a jersey and glasses,the man is wearing sunglasses and is facing the water,"the woman on the other hand is standing adjacent o the man, there are pebbles and sand on the shore"
4014,five police men are standing outside a building,one of the policemen is wearing sungkasses and has his hands in his pockets,one is holding the other on the back of his neck and chest and they seem very happy,the other  has his arms crosses on his chest and there is a dark window behind him,the last one is holding something in his hands and is facing the police man holding his companion on the neck
4015,"a man is laying on the grass with his head propped up, it looks like ge fell",he is directing his hands in front of him like he wants to get a hold of something,he is wearing an orange long sleeved shirt with whilte and red material,"theres a hand streched out in front of him, it looks like this is waht the man laying on the grass is tryong to get a hold of","it seems its afternoon, the man is wearing a green trousers"
4016,a black and brown  dog is in a grassy area,the grass is dry and so are the leaves on it,the dog is trying to bite a red ball ,it has its legs streched out in front of it in an attempt to bite the ball,"this red ball is actually a balloon, it has grass on it and you can see the reflection of the dog on the balloon"
4017,a woman and a child are in an area with trees,"the child is a little boy and he is wearing a blue shirt with a picture on it, he also has his cheeks blown out like he is blowing air ","the young lady is wearing a pink vest with the number '63 and flowers' on it, she is also wearing short shorts",the young lady is a holding a blue bottle with soapy liquid in it and she is holding a stick to blow bubbles with in the other hand,the young lady's hair is straight and covering part of her face and the little boy's hair is curly
4018,a small dog has white fur and brown patches on its ears and eyes,the small dog is an area coveered or shielded with a wooden and wire fence,it is sunny and so even the dog's shadow can be seen on its left side on the ground,the dog is jumping off a cut log from which it was standing,the small dog is waering a bandana scarf inits neck and there are trees in the same area in a distance
4019,"some young ladies, older women and a little girl are inside a buiding standing under a chandelier",theres a man sitted at a table with white linen and double doors behind this group of females,theres a bride in front of these females throwing a bouquet of flowers,one of the women is holding her waits and looks unbothered by whats happening,the smallest girl has her hands out like she too wnats to catch the boquet
4020,a dog is walking in a lake,it has wet brown fur,its legs are in the air as it is walking ,its tails and ears too,it is splashing water as it is walking
4021,a peron is in a snowy mountain,he is on a snowboard and he has metal staffs to help him walk,theres another mountain and a lake in the distance,this person is wearing warm clothing fit for snowboarding,therea re some trees behind him and on his left
4022,a dog is running in a place with grass and sand,"this dog has brown fur on its feet and mouth, it has its ears perked out in the air",there is tall dry grass and a dry tree nearby,there are dry twigs and sticks on the ground,the dog is wearing a red collar and its jumping over a scrap of meatl
4023,a little girl is at the beach,there are logs in the sand,there are foot prints also in the sand,there are peole in the water and the little girl has one of her hands spread out in a effort to keep her balance while on the log,"this little girl is wearing a white jersey, pants and shoes, she has her hair in piggy tails"
4024,a big dog is biting something,the man has his hand in the thing the dog is biting,this man is wearing leather clothes,he is also holding a wooded stick and it looks like he wants to strike the doig with it,the man wearing sunglasses and the dog is wearing a chain
4025,"two girls are standing, one in the shade and the other is in the sun",the girl standing in the shade is leaning on the wall with one hand on her mouth and the other on the wall,the girl in the sun is reading a book and it lloks like she is concentrating on what she is reading,"both are wearing long sleeved shirts, one is wearing able skirt and the other is wearing a brown shirt",bothe are wearing hijabs
4026,a man is standing on a hill,he is wearing a Jersey and a heads,he has a camera in his neck and he has a bag on his arm that is open,this man is wearing glasses and their glasses connected to the glasses,this man even has a phone
4027,a group of people are walking in a sidewalk and some of them even look like they are screaming,two of them are head a man and a woman the woman is pointing a head of her with her fingers,the man looks like he is clapping and he is wearing a jacket and a blue hat while the woman is wearing a jersey see with a hoodie,the people following behind also have their hands in the air,it is night-time
4028,a person is snowboarding,this person is wearing warm clothes and wearing glasses to shield them from the snow,it looks like it's afternoon time,this person is holding the snowboard while in the air,this person is snowboarding on a snowy mountain
4029,4 people at The Shore of the beach,there is one woman a young lady an old man and a young man on and the old woman is looking on her left side,they are facing the direction of the sea,they are all wearing shirts only the woman is wearing a vest and she had her hair tied back,the men are wearing different types of shorts together with the women who are wearing trousers
4030,a dog is in the snow,it is biting something that is in the snow,it has brown fur,it has a black collar and it is holding the thing it is biting down with its paw,you can see the Shadow of the dog on the left side
4031,some children are inside a building others are sitting while others are standing,there is also a crowd of people in the same building who look like an audience,two of the children standing are wearing clothes fit for playing judo,they are wearing helmets,one of the children is kicking the other and the other child is trying to block the kick with his hands
4032,school children in the back of a truck,others are trying to get into the truck and two of them and not wearing school uniforms,some have bags on their backs,there are other vehicles on the road,there are street lights and posters on the sides of the road
4033,a man is on a bicycle jumping over a wire,she is coming from a sidewalk next to the shops,there's a road on his lift where cars are passing and electricity poles,there is also a park nearby,apart from the shops there are also other buildings
4034, a man and woman are kissing on the side of a road,the man is wearing a khaki coat and gloves and the woman is wearing a if fur coat,they are cars passing in the road and electricity poles nearby,there are also different types of trees in the road that have shed their leaves,there are also buildings close by
4035,a group of people are sitting on concrete and only one of them is facing the other direction,one of them is an old man wearing a long sleeve shirt that is blue trousers and black shoes he is also wearing sunglasses,another man is wearing lenses,there's a bridge where cars are passing on the right side of the old man wearing glasses,there are ropes and hooks in front of these two old men
4036,a little boy is running in a dusty Road,he is running with his hands in the air,he is wearing a brown Jersey and he is carrying something in his hands,there is a field of grass growing nearby,some grass is dry
4037,two men standing in a park,two are standing on skateboards and they even have their hands in the air,one of them is jumping over something using his yellow skateboard,there's a bicycle in a distance and people sitting far away,one of them is wearing a black shirt and blue jeans
4038,a little boy is running at the beach,he is wearing a short and his hands are in the air,there is is a forest behind him,the water of the sea is reaching the shore,this boy looks happy while he is running
