IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
5001, Three white boys are wearing shorts with helmets as they ride bicycles .,It seems they are in a race to ride bikes to see who can cycle a longer period.,They are in a small road that is in the forest.,Have you seen that the road has has white rodes that have a yellow rope?,Yes i have seen and the forest big trees that have green leaves.
5002,A man is wearing a football atire and the shirt is wearing has red and black lines.,He is wearing a shirt that has big white writings on the front with a black short that has red lines.,He is wearing long socks that reach the knees while wearing white shoes for football.,Have you seen that the socks have some bulge? Maybe it is for protection as they play football ,Because he is wearing  something for protection  that is why he is dribbling  as he plays the ball.
5003,They white kids who are  wearing helmets are playing ,The are playing in dirty water and the sea is slightly deep as the water is reaching their waist.,Two of the kids are in water while one is on the buckets that are on water.,They are all wearing floaters so that  they don't drown in case of an accident.,On the shore there are big trees that have green leaves. It seems the river passes  through the forest.
5004,Young boys are wearing thick clothes with head socks.,There are playing on a big yard. Does this place look like cold place?,It seens the place is very cold because of the way the boys are dressed and snow can be seen.,Even though there is snow at the  place the vehicle tracks can be seen.,On the side of the place near a hill there are small trees that look dry.
5005,A white man and a white woman are at a certain place with a dog with grey fur.,The woman is sitting on a seat made of wood while wearing a black cap with a shirt that only covers the breasts.,The man who is also wearing a black cap is standing  looking at the woman as they discuss.,The dog is laying down near the man and it seems to be licking the persons feet,They are in a place that is a building  that has no walls but a only a roof and on the side there is a hill and trees.
5006,A white girl is wearing a bright white shirt.,Her hair is light black and she is looking happy as she plays in water.,She is playing in clean water that is in a big blue bucket.,She is sliding  from the green slide into the water as she plays .,Behind the slide there a wooden fence and it is near the short grass.
5007,A white boy a short shirt with green sleeves.,He has a very big smile as he sits next to the swimming pool and he has very white teeth.,"There  also swimming pool that has been built and it has clean water,",Behind afar there is a fence made of wood that is near a big tree.,Behind  the girl there is another swimming pool that has clean water.
5008,Two  black boys are playing basketball.,One of the boys is wearing a black jersey while the other  one is wearing a red one.,The boy dressed in black is the one with the ball and he has jumped as though he is about to score,The one dressed in red is attempting  to get  the ball so that  it is  not scored.,The one dressed in red has writings on his skin on the right  shoulder and on the right leg.
5009,A white child with light hair looks very happy,He is wearing a red hoody.,He has closed the eyes when laughing because he is happy.,He is in a very dark place the only light s where he is seated.,"In front of him his reflection can be seen, it seems there is a mirror  in front ."
5010,A light skinned man does mot have a lot of hair in his head.,He looks very happy standing with his arms straight while looking on the side.,He is standing on a small mountain that is s on the shore of the sea,The sea has very clean water and it can be very deep.,From how he is looking it seems he has come to watch the sea or to swim.
